"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"First names at birth by sex at birth, selected indicators","17100147",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014701",1;2;3,"CURRENT - a cube available to the public and that is current","Annual","1991-01-01","2024-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography, place of residence of mother",,""
"2","Sex at birth",,""
"3","First name at birth",7,""
"4","Indicator",6,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","Male","","1","","",,
"2","Female","","2","","",,
"3","SAMARTH","","12973","","",,
"3","SANDRINE","","13042","","",,
"3","SANDRO","","13043","","",,
"3","SANDRYNE","","13044","","",,
"3","SANDY","","13045","","",,
"3","SANG","","13046","","",,
"3","SAMARVEER","","12974","","",,
"3","SAMARVIR","","12975","","",,
"3","SAMATAR","","12976","","",,
"3","SAMATHA","","12977","","",,
"3","SAMAYA","","12978","","",,
"3","SAMAYRA","","12979","","",,
"3","SAMBA","","12980","","",,
"3","SAMEED","","12981","","",,
"3","SAMEEHA","","12982","","",,
"3","SAMEER","","12983","","",,
"3","SAMEERA","","12984","","",,
"3","SAMER","","12985","","",,
"3","SAMERA","","12986","","",,
"3","SAMI","","12987","","",,
"3","SAMIA","","12988","","",,
"3","SAMIAH","","12989","","",,
"3","SAMIE","","12990","","",,
"3","SAMIHA","","12991","","",,
"3","SAMIKA","","12992","","",,
"3","SAMIM","","12993","","",,
"3","SAMINA","","12994","","",,
"3","SAMIR","","12995","","",,
"3","SAMIRA","","12996","","",,
"3","SAMIRAH","","12997","","",,
"3","SAMIYA","","12998","","",,
"3","SAMIYAH","","12999","","",,
"3","SAMMANTHA","","13000","","",,
"3","SAMMI","","13001","","",,
"3","SAMMIE","","13002","","",,
"3","SAMMUEL","","13003","","",,
"3","SAMMY","","13004","","",,
"3","SAM-OLIVIER","","13005","","",,
"3","SAMPSON","","13006","","",,
"3","SAMRA","","13007","","",,
